Source,Target,Type,Weight
32,780,unweighted,1
32,781,unweighted,1
32,782,unweighted,1
32,783,unweighted,1
32,784,unweighted,1
32,785,unweighted,1
32,786,unweighted,1
32,787,unweighted,1
32,788,unweighted,1
32,789,unweighted,1
32,790,unweighted,1
32,791,unweighted,1
32,72,unweighted,1
32,792,unweighted,1
32,793,unweighted,1
32,794,unweighted,1
32,795,unweighted,1
32,796,unweighted,1
32,797,unweighted,1
32,798,unweighted,1
32,799,unweighted,1
32,800,unweighted,1
32,801,unweighted,1
32,802,unweighted,1
32,803,unweighted,1
32,804,unweighted,1
32,805,unweighted,1
32,806,unweighted,1
32,807,unweighted,1
32,808,unweighted,1
33,809,unweighted,1
33,810,unweighted,1
33,811,unweighted,1
33,812,unweighted,1
33,813,unweighted,1
33,814,unweighted,1
33,815,unweighted,1
33,816,unweighted,1
33,817,unweighted,1
33,818,unweighted,1
33,819,unweighted,1
33,820,unweighted,1
33,821,unweighted,1
33,822,unweighted,1
33,823,unweighted,1
33,824,unweighted,1
33,825,unweighted,1
33,826,unweighted,1
33,827,unweighted,1
33,828,unweighted,1
33,829,unweighted,1
33,830,unweighted,1
33,831,unweighted,1
33,832,unweighted,1
33,833,unweighted,1
33,834,unweighted,1
33,835,unweighted,1
33,836,unweighted,1
33,837,unweighted,1
33,838,unweighted,1
33,839,unweighted,1
33,840,unweighted,1
33,841,unweighted,1
33,842,unweighted,1
33,843,unweighted,1
33,844,unweighted,1
33,845,unweighted,1
33,846,unweighted,1
33,847,unweighted,1
33,848,unweighted,1
34,849,unweighted,1
34,850,unweighted,1
34,851,unweighted,1
34,852,unweighted,1
34,853,unweighted,1
34,854,unweighted,1
34,855,unweighted,1
